posted_on,bhk,rent,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact
2022-05-23,1,7000,600,Ground out of 1,Carpet Area,"Ganapathipuram, Chromepet",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,34000,471,9 out of 38,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-23,2,16000,1200,1 out of 4,Super Area,Kengeri,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,6000,600,3 out of 4,Super Area,Doddabidarakallu,Bangalore,Unfurnished,Bachelors,1,Contact Owner
2022-05-23,1,7000,600,2 out of 3,Super Area,Sunkadakatte,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,9000,600,2 out of 4,Super Area,Laggere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,8000,600,Ground out of 1,Super Area,Nagadevana Halli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,18000,1065,2 out of 5,Carpet Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-23,2,15000,700,1 out of 5,Super Area,Yeshwantpur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,6500,450,2 out of 3,Carpet Area,Mahindra World City,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,9500,700,Ground out of 4,Super Area,Chikkalasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,1,32000,1050,2 out of 3,Carpet Area,"Banjara Hills, NH 9",Hyderabad,Furnished,Bachelors,1,Contact Agent
2022-05-23,2,14500,650,1 out of 2,Carpet Area,"Maruthi Nagar-Kaggadasapura, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,9500,600,2 out of 3,Super Area,Hbr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,5500,600,2 out of 3,Super Area,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,12000,850,Ground out of 4,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,4,75000,2000,Ground out of 2,Super Area,Hsr Layout,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
2022-05-23,1,7500,500,1 out of 4,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,3,25000,2000,1 out of 1,Super Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-23,2,8000,800,1 out of 3,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,2,11000,1200,Ground out of 2,Super Area,"Kadugondanahalli, Kadugondanahalli",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-23,2,14000,800,Ground out of 2,Super Area,Vijayanagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-23,1,65000,500,Ground out of 5,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2022-05-23,1,52000,475,10 out of 18,Carpet Area,Shivaji Park,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-23,1,85000,695,2 out of 7,Carpet Area,Union Park,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-05-23,1,80000,560,1 out of 7,Carpet Area,Waterfield Road,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2022-05-23,1,24000,550,Ground out of 4,Carpet Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-05-23,2,72000,660,12 out of 22,Carpet Area,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-23,1,21000,450,4 out of 7,Super Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-23,3,25000,1200,1 out of 4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-24,1,8000,400,2 out of 3,Carpet Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,1,6000,600,2 out of 2,Super Area,Meenakshi Layout Hosa Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,9000,200,2 out of 7,Super Area,BHEL,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-24,1,24000,550,2 out of 4,Carpet Area,Mulund West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-05-24,2,15000,1066,1 out of 4,Super Area,Veerapuram,Chennai,Unfurnished,Family,2,Contact Owner
2022-05-24,2,6000,600,Ground out of 4,Super Area,Belgharia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-24,1,5000,550,1 out of 1,Super Area,Sikkarayapuram,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,12500,890,3 out of 11,Super Area,"Padur, Old Mahabalipuram Road",Chennai,Unfurnished,Bachelors,2,Contact Owner
2022-05-24,3,120000,3276,3 out of 4,Super Area,"Cleveland Town, Frazer Town",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-24,2,18000,730,2 out of 3,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-24,2,11000,1250,1 out of 3,Super Area,Hyderabad Shah Guda,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-24,2,80000,836,6 out of 23,Carpet Area,"TATA Falcon Crest, Parel",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-24,2,10000,1200,2 out of 2,Super Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-05-24,2,22000,800,2 out of 3,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-24,1,14500,600,1 out of 3,Carpet Area,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
2022-05-24,5,100000,6000,9 out of 12,Super Area,Navalur,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-05-24,2,9000,1000,1 out of 3,Carpet Area,Budigere Cross,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,40000,95,3 out of 3,Carpet Area,Safdarjung Enclave,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-24,2,15000,1000,Ground out of 2,Super Area,"Srinagar, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,7000,500,1 out of 3,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,9500,1200,Ground out of 1,Super Area,"Moulivakkam, Moulivakkam",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-24,1,6500,44,Ground out of 1,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,9000,700,Ground out of 2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,3,13000,1550,1 out of 5,Carpet Area,Bandlaguda Jagir,Hyderabad,Unfurnished,Bachelors,3,Contact Owner
2022-05-24,3,12000,1060,3 out of 4,Super Area,"Urapakkam, Vandalur R.F, GST Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-24,1,25000,425,3 out of 5,Carpet Area,Mulund West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2022-05-24,2,11500,1200,2 out of 3,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,1,1500,200,Ground out of 2,Super Area,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-24,2,12000,1000,3 out of 3,Super Area,in Maruthi Nagar-Dr A.S. Rao Nagar,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-24,2,36000,690,4 out of 8,Carpet Area,Mulund West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-24,4,100000,400,Ground out of 4,Carpet Area,Sarvodaya Enclave,Delhi,Unfurnished,Bachelors/Family,4,Contact Agent
2022-05-24,2,8000,1350,1 out of 2,Carpet Area,"Boduppal, NH 2 2",Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-05-24,3,44300,200,1 out of 4,Carpet Area,Paschim Vihar,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-24,2,11000,600,1 out of 3,Carpet Area,Battarahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,6500,790,3 out of 7,Super Area,"Deep Heights, Nalasopara",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,3,27000,2200,3 out of 6,Super Area,Toli Chowki,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-25,4,20000,1450,3 out of 4,Super Area,Tiruvottiyur,Chennai,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-05-25,1,8500,600,Ground out of 3,Super Area,Tharamani,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,1,5000,250,Ground out of 3,Super Area,"Aminjikarai, PH Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,6000,100,2 out of 3,Super Area,Borabanda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,16000,1200,1 out of 2,Super Area,Chintalakunta,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,14000,1100,Ground out of 2,Carpet Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,12500,500,2 out of 3,Super Area,Kolathur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,6500,500,2 out of 2,Super Area,in Bandlaguda Jagir,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,3,40000,1473,23 out of 23,Super Area,"Kukatpally, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,1,5000,450,2 out of 2,Super Area,"Ananda Pally, Jadavpur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,6500,700,Ground out of 1,Super Area,Hosakerehalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,9000,1200,Ground out of 2,Carpet Area,"Gandhamguda, Bairagiguda",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,11000,950,2 out of 3,Carpet Area,IDA Uppal,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
2022-05-25,3,30000,1500,3 out of 4,Super Area,"Okkiyam Thuraipakkam, E Coast Road",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-25,1,6900,50,Ground out of 4,Carpet Area,Kodigehalli,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
2022-05-25,2,10000,1300,2 out of 3,Super Area,Moula Ali,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,1,18500,430,5 out of 7,Carpet Area,"Gokul Accord, Thakur Complex",Mumbai,Unfurnished,Family,1,Contact Agent
2022-05-25,2,15000,950,Ground out of 3,Super Area,Velachery,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,1,6000,680,Ground out of 3,Carpet Area,Bapu Nagar-Langar Houz,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,3,48000,1286,8 out of 16,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-25,2,24000,600,5 out of 7,Carpet Area,Charkop,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
2022-05-25,2,9500,1290,1 out of 2,Super Area,"Jillelguda, Medbowli",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,15000,900,1 out of 3,Super Area,Santosh Nagar,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,3,26000,1200,Ground out of 3,Super Area,Thiruvanmiyur,Chennai,Semi-Furnished,Family,3,Contact Owner
2022-05-25,2,16000,960,2 out of 4,Super Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,1,8500,200,1 out of 3,Carpet Area,Arumbakkam,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,10500,600,3 out of 5,Super Area,Kodichikkanahalli Main Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,3,34000,1503,3 out of 7,Carpet Area,Ram Nagar-Nanganallur,Chennai,Semi-Furnished,Family,2,Contact Owner
2022-05-25,1,9500,800,3 out of 4,Super Area,"Yousufguda, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,12000,800,2 out of 4,Super Area,"Kachiguda, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,3,15000,704,5 out of 17,Carpet Area,Thane-Kalyan-Dombivli,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,1,5500,300,Ground out of 3,Super Area,Ameenpur,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,3,20000,1065,4 out of 5,Super Area,Washermanpet,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-25,2,16500,700,Ground out of 3,Super Area,Ashok Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,13000,1100,2 out of 4,Carpet Area,Irumbuliyur,Chennai,Unfurnished,Family,2,Contact Owner
2022-05-25,3,20000,1250,2 out of 6,Super Area,Qutub Shahi Tombs,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,15000,700,1 out of 3,Super Area,Ambattur,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,17000,1000,1 out of 5,Super Area,Mogappair East,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,23000,1100,2 out of 3,Super Area,Thoraipakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,3,26000,2100,1 out of 4,Super Area,Sholinganallur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-25,2,27000,1500,Ground out of 4,Super Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,7500,100,1 out of 3,Super Area,Amberpet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,18000,1000,1 out of 2,Super Area,Sholinganallur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,15000,1000,Ground out of 1,Super Area,Horamavu kelkkeri road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-25,2,9000,600,2 out of 2,Carpet Area,"Valasaravakkam, Arcot Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,9500,1250,1 out of 1,Super Area,"Akshya nagar, Raghavendra colony, Road no:4,Boduppal",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,10000,950,1 out of 3,Super Area,Adambakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,16000,820,Ground out of 2,Carpet Area,Purasaiwakkam,Chennai,Semi-Furnished,Family,2,Contact Owner
2022-05-25,2,150000,890,7 out of 19,Carpet Area,Cuffe Parade,Mumbai,Unfurnished,Bachelors,2,Contact Owner
2022-05-25,2,12000,1080,2 out of 3,Super Area,"Habsiguda, NH 2 2",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,25000,1100,2 out of 3,Super Area,Masab Tank,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,3,70000,1450,Ground out of 2,Super Area,Madipakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,3,55000,868,9 out of 21,Carpet Area,"Orchid Suburbia, Bander Pakhadi",Mumbai,Unfurnished,Family,3,Contact Agent
2022-05-25,1,7500,600,3 out of 4,Super Area,"Miyapur, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,5000,200,Ground out of 3,Super Area,Mambalam West,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,6000,700,1 out of 2,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,10000,800,1 out of 2,Super Area,Ramapuram,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,7000,800,3 out of 4,Super Area,"Boduppal, NH 2 2",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,1,8000,700,1 out of 1,Carpet Area,"Nemilichery, Chromepet",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,20000,700,3 out of 7,Super Area,Toli Chowki,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,17000,1150,5 out of 6,Super Area,Abhyudaya Nagar,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,10000,700,Ground out of 2,Super Area,Nanmangalam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,13500,950,Ground out of 3,Super Area,Iyyappanthangal,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,4,280000,2500,24 out of 60,Carpet Area,"Bombay Dyeing Two ICC, Dadar TT Circle",Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent
2022-05-25,2,12000,600,Ground out of 3,Super Area,"Bharathidasan Colony, KK Nagar",Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,20000,450,5 out of 8,Carpet Area,"Gokul Regency Apartment, Thakur Complex",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-25,1,7000,500,1 out of 4,Super Area,Chanda Nagar,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,25500,950,Ground out of 4,Super Area,Dhanukar Wadi,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-25,3,27500,1570,4 out of 5,Super Area,Sholinganallur,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2022-05-25,2,11000,1200,2 out of 2,Super Area,"Troop Bazaar, Koti",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,9000,843,2 out of 3,Super Area,Kovur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,12500,1000,1 out of 2,Super Area,Perambur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,12500,1315,Ground out of 2,Super Area,Aminpur,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,10000,500,2 out of 4,Super Area,Koyambedu,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,7500,500,2 out of 3,Super Area,"Hafeezpet, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-25,2,40000,1000,3 out of 3,Super Area,Greater Kailash 2,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-05-25,2,10000,1800,2 out of 3,Super Area,"Boduppal, NH 2 2",Hyderabad,Unfurnished,Family,2,Contact Owner
2022-05-25,1,4500,150,Ground out of 2,Super Area,Velachery,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,9400,600,4 out of 6,Super Area,Bhayandar East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-25,1,7500,500,Ground out of 2,Super Area,Kovur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-26,2,13000,582,5 out of 8,Carpet Area,Lodha casa rio,Mumbai,Furnished,Family,2,Contact Owner
2022-05-26,2,47000,785,4 out of 7,Carpet Area,JB Nagar,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2022-05-26,1,13500,432,5 out of 8,Carpet Area,"Hiral Greens, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-26,3,30000,2000,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-26,3,8000,1200,1 out of 4,Super Area,"Ramkrishna Pally, Kaikhali",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-26,2,95000,1000,10 out of 13,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-26,2,7000,650,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-26,1,30000,430,14 out of 23,Carpet Area,"Sindhi Society, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-26,2,10000,1000,2 out of 2,Super Area,"Singaperumal Koil, Tiruchi Chennai Highway",Chennai,Furnished,Bachelors/Family,2,Contact Owner
2022-05-26,1,8000,550,2 out of 3,Super Area,"Rasoolpura, Mahatma Gandhi Road",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-26,2,20000,630,4 out of 22,Carpet Area,"SK Imperial Heights, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent
2022-05-26,3,80000,2000,3 out of 4,Carpet Area,Sarvodaya Enclave,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2022-05-26,1,5500,400,Ground out of 3,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-26,1,9000,950,1 out of 2,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-26,1,26000,450,4 out of 8,Carpet Area,Kalina,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-26,3,69999,950,7 out of 12,Carpet Area,Chembur East,Mumbai,Unfurnished,Family,3,Contact Agent
2022-05-26,1,45000,450,7 out of 10,Carpet Area,"Rose Queen, Old Khar",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2022-05-26,2,45000,650,2 out of 12,Carpet Area,"Swastik Pride, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-26,2,29000,1300,Ground out of 2,Super Area,Annanagar west,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-26,4,37000,2700,2 out of 3,Carpet Area,"AGCR Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-05-26,1,10000,502,1 out of 1,Super Area,T Nagar,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-26,3,15000,1500,1 out of 1,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner
2022-05-26,2,25000,500,1 out of 3,Carpet Area,New Devchhaya Building,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
2022-05-26,1,33000,550,Ground out of 4,Carpet Area,"Supreme Divine Light CHS, Chakala",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-26,3,35000,1800,4 out of 4,Carpet Area,Surajmal Vihar,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-26,1,24000,700,7 out of 7,Carpet Area,"Domlur, Domlur",Bangalore,Furnished,Bachelors/Family,1,Contact Agent
2022-05-26,1,5000,400,3 out of 5,Carpet Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2022-05-26,1,11500,300,1 out of 2,Carpet Area,"Cooke Town, Cooke Town",Bangalore,Unfurnished,Bachelors,1,Contact Owner
2022-05-26,2,9900,800,1 out of 4,Carpet Area,Bijoygarh,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-26,3,37000,1800,1 out of 4,Carpet Area,Preet Vihar,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-26,2,18000,900,1 out of 2,Super Area,Elango Nagar-Virugambakkam,Chennai,Semi-Furnished,Family,2,Contact Owner
2022-05-26,4,42000,2700,2 out of 4,Carpet Area,"Pushpanjali, Anand Vihar",Delhi,Semi-Furnished,Bachelors,4,Contact Agent
2022-05-26,2,10000,1030,1 out of 2,Carpet Area,Camp Road,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-26,2,39000,1283,5 out of 34,Super Area,Gachibowli,Hyderabad,Unfurnished,Bachelors,2,Contact Agent
2022-05-26,1,10000,500,Ground out of 3,Carpet Area,snv la,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-26,1,6000,400,4 out of 5,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-26,2,30000,1140,5 out of 5,Super Area,"Kukatpally, NH 9",Hyderabad,Furnished,Family,2,Contact Owner
2022-05-27,2,14000,1000,1 out of 2,Super Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-27,2,30000,1000,2 out of 4,Super Area,"DDA Flats Sector E Pocket 1, Vasant Kunj",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-27,1,5500,600,1 out of 2,Super Area,"Chikkana Layout, Kammanahalli",Bangalore,Unfurnished,Bachelors,1,Contact Owner
2022-05-27,3,55000,1800,1 out of 4,Carpet Area,"Langford Town, Shanti Nagar, Hosur Road",Bangalore,Unfurnished,Bachelors,3,Contact Agent
2022-05-27,2,12500,900,1 out of 1,Carpet Area,Ambattur,Chennai,Unfurnished,Bachelors,2,Contact Owner
2022-05-27,2,8000,600,1 out of 4,Super Area,"Mallasandra, Jalahalli West",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,16000,400,3 out of 4,Carpet Area,Lajpat Nagar 4,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-27,3,150000,1400,16 out of 21,Carpet Area,darshan ricco Tower,Mumbai,Furnished,Bachelors,3,Contact Agent
2022-05-27,1,24000,370,5 out of 8,Carpet Area,"Kanakia Sanskruti, Thakur Complex",Mumbai,Semi-Furnished,Family,1,Contact Agent
2022-05-27,1,8000,400,1 out of 5,Super Area,"Hennur, Hennur Bagalur Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-27,2,6500,75,1 out of 1,Carpet Area,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,9000,425,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-27,2,14000,1200,Ground out of 2,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-27,2,15000,700,1 out of 2,Super Area,Yeshwantpur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-27,3,40000,1400,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
2022-05-27,2,45000,700,3 out of 7,Carpet Area,Oshiwara,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-27,1,6000,300,Ground out of 3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
